Date,Revenue,COGS,Operating_Expenses,Net_Income,Quarter
2023-01-31,262134,104844,86062,8542,2023Q1
2023-02-28,214778,34011,81549,19827,2023Q1
2023-03-31,460634,119750,82691,12828,2023Q1
2023-04-30,313015,135757,93585,19840,2023Q2
2023-05-31,405403,67332,28331,13333,2023Q2
2023-06-30,309652,58409,66077,7053,2023Q2
2023-07-31,360942,57291,34260,12917,2023Q3
2023-08-31,489114,100291,53839,12688,2023Q3
2023-09-30,175562,101070,81564,14128,2023Q3
2023-10-31,353798,30242,85066,14159,2023Q4
2023-11-30,362360,120035,74310,8839,2023Q4
2023-12-31,431122,94406,37280,7164,2023Q4
2024-01-31,102824,144398,22357,19183,2024Q1
2024-02-29,210034,136320,68617,14783,2024Q1
2024-03-31,185520,91734,90324,18589,2024Q1
2024-04-30,377731,125795,62030,17802,2024Q2
2024-05-31,338230,115532,54784,12368,2024Q2
2024-06-30,264532,143779,88260,12007,2024Q2
2024-07-31,486674,117207,37231,15134,2024Q3
2024-08-31,166937,57389,35527,5218,2024Q3
2024-09-30,219187,76658,64204,9201,2024Q3
2024-10-31,360729,56054,30133,6991,2024Q4
2024-11-30,102450,57790,92136,15809,2024Q4
2024-12-31,239814,95265,75494,19780,2024Q4
2025-01-31,171717,56000,24298,6629,2025Q1
2025-02-28,326674,111110,42563,9333,2025Q1
